Town,County,Observed|2006,Observed|2011,Observed|2016,Projected|2021,Projected|2026,Projected|2031,Projected|2036,Projected|2006-2011,Projected|2011-2016,Projected|2016-2021,Projected|2021-2026,Projected|2026-2031,Projected|2031-2036,Percent change|2016-2036
Monmouth, Kennebec,"4,029","4,099","4,075","4,038","4,017","3,987","3,951",1.70%,-0.60%,-0.90%,-0.50%,-0.70%,-0.90%,-3.00%
Mount Vernon, Kennebec,"1,609","1,641","1,660","1,667","1,685","1,699","1,710",2.00%,1.20%,0.40%,1.10%,0.80%,0.60%,3.00%
Oakland, Kennebec,"6,201","6,239","6,210","6,189","6,178","6,155","6,122",0.60%,-0.50%,-0.30%,-0.20%,-0.40%,-0.50%,-1.40%
Pittston, Kennebec,"2,648","2,674","2,644","2,601","2,576","2,546","2,513",1.00%,-1.10%,-1.60%,-1.00%,-1.20%,-1.30%,-5.00%
Randolph, Kennebec,"1,846","1,761","1,715","1,663","1,620","1,574","1,525",-4.60%,-2.60%,-3.00%,-2.60%,-2.80%,-3.10%,-11.10%
Readfield, Kennebec,"2,536","2,578","2,547","2,500","2,467","2,429","2,388",1.70%,-1.20%,-1.80%,-1.30%,-1.50%,-1.70%,-6.20%
Rome, Kennebec,"1,006","1,005","1,002",993,988,982,974,-0.10%,-0.30%,-0.90%,-0.50%,-0.60%,-0.80%,-2.80%
Sidney, Kennebec,"3,978","4,213","4,297","4,362","4,443","4,513","4,576",5.90%,2.00%,1.50%,1.90%,1.60%,1.40%,6.50%
Unity UT, Kennebec,37,43,42,41,40,39,39,16.20%,-2.30%,-2.40%,-2.40%,-2.50%,0.00%,-7.10%
Vassalboro, Kennebec,"4,268","4,356","4,305","4,249","4,208","4,159","4,104",2.10%,-1.20%,-1.30%,-1.00%,-1.20%,-1.30%,-4.70%
Vienna, Kennebec,559,575,574,576,577,577,576,2.90%,-0.20%,0.30%,0.20%,0.00%,-0.20%,0.30%
Waterville, Kennebec,"15,836","15,749","16,579","17,340","18,155","18,924","19,655",-0.50%,5.30%,4.60%,4.70%,4.20%,3.90%,18.60%
Wayne, Kennebec,"1,169","1,179","1,158","1,131","1,110","1,087","1,062",0.90%,-1.80%,-2.30%,-1.90%,-2.10%,-2.30%,-8.30%
West Gardiner, Kennebec,"3,295","3,445","3,366","3,272","3,194","3,110","3,022",4.60%,-2.30%,-2.80%,-2.40%,-2.60%,-2.80%,-10.20%
Windsor, Kennebec,"2,461","2,575","2,565","2,561","2,559","2,552","2,541",4.60%,-0.40%,-0.20%,-0.10%,-0.30%,-0.40%,-0.90%
Winslow, Kennebec,"7,857","7,737","7,597","7,427","7,292","7,143","6,984",-1.50%,-1.80%,-2.20%,-1.80%,-2.00%,-2.20%,-8.10%
Winthrop, Kennebec,"6,205","6,067","6,000","5,916","5,855","5,782","5,701",-2.20%,-1.10%,-1.40%,-1.00%,-1.20%,-1.40%,-5.00%
Appleton, Knox,"1,319","1,317","1,337","1,356","1,368","1,374","1,377",-0.20%,1.50%,1.40%,0.90%,0.40%,0.20%,3.00%
Camden, Knox,"5,091","4,849","4,850","4,795","4,746","4,680","4,606",-4.80%,0.00%,-1.10%,-1.00%,-1.40%,-1.60%,-5.00%
Cushing, Knox,"1,482","1,528","1,499","1,463","1,425","1,381","1,336",3.10%,-1.90%,-2.40%,-2.60%,-3.10%,-3.30%,-10.90%
Friendship, Knox,"1,191","1,148","1,137","1,121","1,102","1,078","1,053",-3.60%,-1.00%,-1.40%,-1.70%,-2.20%,-2.30%,-7.40%
Hope, Knox,"1,475","1,537","1,662","1,800","1,905","2,001","2,091",4.20%,8.10%,8.30%,5.80%,5.00%,4.50%,25.80%
Isle au Haut, Knox,81,73,71,69,66,64,61,-9.90%,-2.70%,-2.80%,-4.30%,-3.00%,-4.70%,-14.10%
Matinicus Isle plantation, Knox,66,74,73,71,70,68,67,12.10%,-1.40%,-2.70%,-1.40%,-2.90%,-1.50%,-8.20%
Muscle Ridge Islands UT, Knox,4,6,6,6,6,6,6,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
North Haven, Knox,371,353,353,348,343,338,332,-4.90%,0.00%,-1.40%,-1.40%,-1.50%,-1.80%,-5.90%
Owls Head, Knox,"1,613","1,579","1,596","1,603","1,608","1,606","1,601",-2.10%,1.10%,0.40%,0.30%,-0.10%,-0.30%,0.30%
Rockland, Knox,"7,549","7,261","7,174","7,053","6,913","6,748","6,573",-3.80%,-1.20%,-1.70%,-2.00%,-2.40%,-2.60%,-8.40%
Rockport, Knox,"3,509","3,322","3,365","3,394","3,412","3,415","3,411",-5.30%,1.30%,0.90%,0.50%,0.10%,-0.10%,1.40%
South Thomaston, Knox,"1,529","1,571","1,608","1,642","1,669","1,689","1,705",2.70%,2.40%,2.10%,1.60%,1.20%,0.90%,6.00%
St. George, Knox,"2,629","2,596","2,584","2,563","2,535","2,498","2,457",-1.30%,-0.50%,-0.80%,-1.10%,-1.50%,-1.60%,-4.90%
Thomaston, Knox,"3,028","2,774","2,766","2,744","2,714","2,673","2,628",-8.40%,-0.30%,-0.80%,-1.10%,-1.50%,-1.70%,-5.00%
Union, Knox,"2,282","2,254","2,226","2,183","2,138","2,085","2,030",-1.20%,-1.20%,-1.90%,-2.10%,-2.50%,-2.60%,-8.80%
Vinalhaven, Knox,"1,211","1,160","1,142","1,112","1,084","1,052","1,019",-4.20%,-1.60%,-2.60%,-2.50%,-3.00%,-3.10%,-10.80%
Warren, Knox,"4,501","4,733","4,693","4,613","4,528","4,428","4,320",5.20%,-0.80%,-1.70%,-1.80%,-2.20%,-2.40%,-7.90%
Washington, Knox,"1,485","1,528","1,512","1,494","1,470","1,440","1,409",2.90%,-1.00%,-1.20%,-1.60%,-2.00%,-2.20%,-6.80%
Alna, Lincoln,714,707,719,712,705,698,689,-1.00%,1.70%,-1.00%,-1.00%,-1.00%,-1.30%,-4.20%
Boothbay, Lincoln,"3,123","3,105","3,093","2,995","2,907","2,818","2,731",-0.60%,-0.40%,-3.20%,-2.90%,-3.10%,-3.10%,-11.70%
Boothbay Harbor, Lincoln,"2,280","2,152","2,173","2,137","2,103","2,068","2,031",-5.60%,1.00%,-1.70%,-1.60%,-1.70%,-1.80%,-6.50%
Bremen, Lincoln,816,801,793,761,733,705,679,-1.80%,-1.00%,-4.00%,-3.70%,-3.80%,-3.70%,-14.40%
Bristol, Lincoln,"2,774","2,740","2,728","2,642","2,563","2,485","2,408",-1.20%,-0.40%,-3.20%,-3.00%,-3.00%,-3.10%,-11.70%
Damariscotta, Lincoln,"2,206","2,201","2,135","2,022","1,915","1,811","1,711",-0.20%,-3.00%,-5.30%,-5.30%,-5.40%,-5.50%,-19.90%
Dresden, Lincoln,"1,693","1,661","1,651","1,599","1,550","1,500","1,452",-1.90%,-0.60%,-3.10%,-3.10%,-3.20%,-3.20%,-12.10%
Edgecomb, Lincoln,"1,218","1,249","1,238","1,193","1,154","1,114","1,075",2.50%,-0.90%,-3.60%,-3.30%,-3.50%,-3.50%,-13.20%
Jefferson, Lincoln,"2,460","2,413","2,391","2,305","2,228","2,152","2,077",-1.90%,-0.90%,-3.60%,-3.30%,-3.40%,-3.50%,-13.10%
Monhegan plantation, Lincoln,73,68,67,64,61,58,56,-6.80%,-1.50%,-4.50%,-4.70%,-4.90%,-3.40%,-16.40%
Newcastle, Lincoln,"1,790","1,747","1,724","1,648","1,585","1,522","1,461",-2.40%,-1.30%,-4.40%,-3.80%,-4.00%,-4.00%,-15.30%
Nobleboro, Lincoln,"1,662","1,634","1,619","1,556","1,501","1,447","1,395",-1.70%,-0.90%,-3.90%,-3.50%,-3.60%,-3.60%,-13.80%
Somerville, Lincoln,548,552,556,550,543,536,528,0.70%,0.70%,-1.10%,-1.30%,-1.30%,-1.50%,-5.00%
South Bristol, Lincoln,914,885,867,826,789,753,718,-3.20%,-2.00%,-4.70%,-4.50%,-4.60%,-4.60%,-17.20%
Southport, Lincoln,651,603,592,564,540,515,492,-7.40%,-1.80%,-4.70%,-4.30%,-4.60%,-4.50%,-16.90%
Waldoboro, Lincoln,"5,129","5,049","4,991","4,804","4,633","4,464","4,300",-1.60%,-1.10%,-3.70%,-3.60%,-3.60%,-3.70%,-13.80%
Westport, Lincoln,745,717,715,697,679,661,644,-3.80%,-0.30%,-2.50%,-2.60%,-2.70%,-2.60%,-9.90%
Whitefield, Lincoln,"2,342","2,280","2,278","2,209","2,148","2,087","2,027",-2.60%,-0.10%,-3.00%,-2.80%,-2.80%,-2.90%,-11.00%
Wiscasset, Lincoln,"3,764","3,709","3,662","3,516","3,386","3,256","3,131",-1.50%,-1.30%,-4.00%,-3.70%,-3.80%,-3.80%,-14.50%
Andover, Oxford,851,825,811,789,772,754,734,-3.10%,-1.70%,-2.70%,-2.20%,-2.30%,-2.70%,-9.50%
Bethel, Oxford,"2,576","2,613","2,661","2,685","2,717","2,742","2,756",1.40%,1.80%,0.90%,1.20%,0.90%,0.50%,3.60%
Brownfield, Oxford,"1,491","1,604","1,608","1,604","1,602","1,598","1,587",7.60%,0.20%,-0.20%,-0.10%,-0.20%,-0.70%,-1.30%
Buckfield, Oxford,"1,929","2,009","2,008","1,990","1,978","1,962","1,939",4.10%,0.00%,-0.90%,-0.60%,-0.80%,-1.20%,-3.40%
Byron, Oxford,138,144,140,136,131,127,122,4.30%,-2.80%,-2.90%,-3.70%,-3.10%,-3.90%,-12.90%
Canton, Oxford,"1,053",985,938,872,820,767,713,-6.50%,-4.80%,-7.00%,-6.00%,-6.50%,-7.00%,-24.00%
Denmark, Oxford,"1,110","1,148","1,135","1,118","1,102","1,085","1,064",3.40%,-1.10%,-1.50%,-1.40%,-1.50%,-1.90%,-6.30%
Dixfield, Oxford,"2,573","2,539","2,468","2,387","2,311","2,232","2,148",-1.30%,-2.80%,-3.30%,-3.20%,-3.40%,-3.80%,-13.00%
Fryeburg, Oxford,"3,361","3,437","3,405","3,346","3,298","3,245","3,182",2.30%,-0.90%,-1.70%,-1.40%,-1.60%,-1.90%,-6.50%
Gilead, Oxford,194,208,202,195,189,182,175,7.20%,-2.90%,-3.50%,-3.10%,-3.70%,-3.80%,-13.40%
Greenwood, Oxford,830,827,805,782,759,736,711,-0.40%,-2.70%,-2.90%,-2.90%,-3.00%,-3.40%,-11.70%
Hanover, Oxford,247,243,256,267,278,288,297,-1.60%,5.30%,4.30%,4.10%,3.60%,3.10%,16.00%
Hartford, Oxford,"1,120","1,189","1,197","1,196","1,198","1,198","1,193",6.20%,0.70%,-0.10%,0.20%,0.00%,-0.40%,-0.30%
Hebron, Oxford,"1,299","1,406","1,399","1,357","1,332","1,306","1,275",8.20%,-0.50%,-3.00%,-1.80%,-2.00%,-2.40%,-8.90%
Hiram, Oxford,"1,572","1,622","1,606","1,588","1,568","1,546","1,519",3.20%,-1.00%,-1.10%,-1.30%,-1.40%,-1.70%,-5.40%
Lincoln plantation, Oxford,46,45,44,43,41,40,39,-2.20%,-2.20%,-2.30%,-4.70%,-2.40%,-2.50%,-11.40%
Lovell, Oxford,"1,092","1,142","1,131","1,116","1,102","1,087","1,068",4.60%,-1.00%,-1.30%,-1.30%,-1.40%,-1.70%,-5.60%
Magalloway plantation, Oxford,43,46,45,44,43,42,40,7.00%,-2.20%,-2.20%,-2.30%,-2.30%,-4.80%,-11.10%
Mexico, Oxford,"2,830","2,669","2,602","2,524","2,451","2,376","2,294",-5.70%,-2.50%,-3.00%,-2.90%,-3.10%,-3.50%,-11.80%
Milton UT, Oxford,132,142,138,134,129,125,120,7.60%,-2.80%,-2.90%,-3.70%,-3.10%,-4.00%,-13.00%
Newry, Oxford,341,331,345,358,370,381,390,-2.90%,4.20%,3.80%,3.40%,3.00%,2.40%,13.00%
North Oxford UT, Oxford,22,24,23,22,21,20,19,9.10%,-4.20%,-4.30%,-4.50%,-4.80%,-5.00%,-17.40%
Norway, Oxford,"4,938","5,010","4,936","4,838","4,750","4,655","4,546",1.50%,-1.50%,-2.00%,-1.80%,-2.00%,-2.30%,-7.90%
Otisfield, Oxford,"1,720","1,768","1,755","1,730","1,707","1,682","1,652",2.80%,-0.70%,-1.40%,-1.30%,-1.50%,-1.80%,-5.90%
Oxford, Oxford,"4,116","4,104","4,034","3,946","3,864","3,778","3,680",-0.30%,-1.70%,-2.20%,-2.10%,-2.20%,-2.60%,-8.80%
Paris, Oxford,"5,123","5,174","5,126","5,065","5,000","4,928","4,839",1.00%,-0.90%,-1.20%,-1.30%,-1.40%,-1.80%,-5.60%
Peru, Oxford,"1,551","1,540","1,506","1,472","1,438","1,402","1,362",-0.70%,-2.20%,-2.30%,-2.30%,-2.50%,-2.90%,-9.60%
Porter, Oxford,"1,498","1,498","1,486","1,471","1,456","1,439","1,416",0.00%,-0.80%,-1.00%,-1.00%,-1.20%,-1.60%,-4.70%
Roxbury, Oxford,380,369,358,345,334,322,309,-2.90%,-3.00%,-3.60%,-3.20%,-3.60%,-4.00%,-13.70%
Rumford, Oxford,"6,181","5,811","5,707","5,578","5,457","5,329","5,185",-6.00%,-1.80%,-2.30%,-2.20%,-2.30%,-2.70%,-9.10%
South Oxford UT, Oxford,555,580,566,550,534,518,500,4.50%,-2.40%,-2.80%,-2.90%,-3.00%,-3.50%,-11.70%
Stoneham, Oxford,247,235,237,237,238,238,237,-4.90%,0.90%,0.00%,0.40%,0.00%,-0.40%,0.00%
Stow, Oxford,354,396,427,455,484,510,533,11.90%,7.80%,6.60%,6.40%,5.40%,4.50%,24.80%
Sumner, Oxford,920,934,909,881,854,827,797,1.50%,-2.70%,-3.10%,-3.10%,-3.20%,-3.60%,-12.30%
Sweden, Oxford,371,391,393,395,396,396,394,5.40%,0.50%,0.50%,0.30%,0.00%,-0.50%,0.30%
Upton, Oxford,95,112,109,105,101,97,93,17.90%,-2.70%,-3.70%,-3.80%,-4.00%,-4.10%,-14.70%
Waterford, Oxford,"1,543","1,552","1,556","1,548","1,545","1,538","1,526",0.60%,0.30%,-0.50%,-0.20%,-0.50%,-0.80%,-1.90%
West Paris, Oxford,"1,802","1,803","1,760","1,697","1,645","1,591","1,533",0.10%,-2.40%,-3.60%,-3.10%,-3.30%,-3.60%,-12.90%
Woodstock, Oxford,"1,312","1,280","1,264","1,245","1,227","1,207","1,183",-2.40%,-1.30%,-1.50%,-1.40%,-1.60%,-2.00%,-6.40%
Alton, Penobscot,866,887,860,850,839,825,809,2.40%,-3.00%,-1.20%,-1.30%,-1.70%,-1.90%,-5.90%
Argyle UT, Penobscot,269,276,267,262,257,252,246,2.60%,-3.30%,-1.90%,-1.90%,-1.90%,-2.40%,-7.90%
Bangor, Penobscot,"32,687","32,949","31,908","31,563","31,138","30,604","30,028",0.80%,-3.20%,-1.10%,-1.30%,-1.70%,-1.90%,-5.90%
Bradford, Penobscot,"1,255","1,285","1,234","1,213","1,187","1,158","1,126",2.40%,-4.00%,-1.70%,-2.10%,-2.40%,-2.80%,-8.80%
Bradley, Penobscot,"1,398","1,490","1,459","1,456","1,451","1,440","1,428",6.60%,-2.10%,-0.20%,-0.30%,-0.80%,-0.80%,-2.10%
Brewer, Penobscot,"9,354","9,438","9,052","8,888","8,692","8,464","8,226",0.90%,-4.10%,-1.80%,-2.20%,-2.60%,-2.80%,-9.10%
Burlington, Penobscot,361,379,422,474,525,575,624,5.00%,11.30%,12.30%,10.80%,9.50%,8.50%,47.90%
Carmel, Penobscot,"2,666","2,798","2,779","2,802","2,829","2,846","2,859",5.00%,-0.70%,0.80%,1.00%,0.60%,0.50%,2.90%
Carroll plantation, Penobscot,150,152,146,144,140,137,133,1.30%,-3.90%,-1.40%,-2.80%,-2.10%,-2.90%,-8.90%
Charleston, Penobscot,"1,417","1,400","1,636","1,661","1,818","1,969","2,116",-1.20%,16.90%,1.50%,9.50%,8.30%,7.50%,29.30%
Chester, Penobscot,543,543,522,514,504,492,479,0.00%,-3.90%,-1.50%,-1.90%,-2.40%,-2.60%,-8.20%
Clifton, Penobscot,858,930,900,892,884,871,858,8.40%,-3.20%,-0.90%,-0.90%,-1.50%,-1.50%,-4.70%
Corinna, Penobscot,"2,189","2,189","2,141","2,144","2,137","2,124","2,107",0.00%,-2.20%,0.10%,-0.30%,-0.60%,-0.80%,-1.60%
Corinth, Penobscot,"2,754","2,863","2,805","2,812","2,807","2,792","2,773",4.00%,-2.00%,0.20%,-0.20%,-0.50%,-0.70%,-1.10%
Dexter, Penobscot,"3,929","3,876","3,725","3,664","3,590","3,503","3,412",-1.30%,-3.90%,-1.60%,-2.00%,-2.40%,-2.60%,-8.40%
Dixmont, Penobscot,"1,143","1,177","1,128","1,107","1,081","1,052","1,021",3.00%,-4.20%,-1.90%,-2.30%,-2.70%,-2.90%,-9.50%
Drew plantation, Penobscot,50,46,44,43,43,42,41,-8.00%,-4.30%,-2.30%,0.00%,-2.30%,-2.40%,-6.80%
East Central Penobscot UT, Penobscot,338,341,328,323,316,309,301,0.90%,-3.80%,-1.50%,-2.20%,-2.20%,-2.60%,-8.20%
East Millinocket, Penobscot,"1,785","1,712","1,640","1,608","1,569","1,526","1,480",-4.10%,-4.20%,-2.00%,-2.40%,-2.70%,-3.00%,-9.80%
Eddington, Penobscot,"2,172","2,228","2,196","2,214","2,225","2,228","2,228",2.60%,-1.40%,0.80%,0.50%,0.10%,0.00%,1.50%
Edinburg, Penobscot,119,130,125,123,121,118,115,9.20%,-3.80%,-1.60%,-1.60%,-2.50%,-2.50%,-8.00%
Enfield, Penobscot,"1,619","1,600","1,541","1,517","1,489","1,456","1,420",-1.20%,-3.70%,-1.60%,-1.80%,-2.20%,-2.50%,-7.90%
Etna, Penobscot,"1,164","1,245","1,202","1,184","1,164","1,140","1,114",7.00%,-3.50%,-1.50%,-1.70%,-2.10%,-2.30%,-7.30%
Exeter, Penobscot,"1,062","1,093","1,066","1,061","1,054","1,043","1,031",2.90%,-2.50%,-0.50%,-0.70%,-1.00%,-1.20%,-3.30%
Garland, Penobscot,"1,066","1,099","1,057","1,037","1,016",991,964,3.10%,-3.80%,-1.90%,-2.00%,-2.50%,-2.70%,-8.80%
Glenburn, Penobscot,"4,381","4,603","4,531","4,586","4,613","4,625","4,629",5.10%,-1.60%,1.20%,0.60%,0.30%,0.10%,2.20%
Greenbush, Penobscot,"1,471","1,501","1,487","1,510","1,529","1,542","1,554",2.00%,-0.90%,1.50%,1.30%,0.90%,0.80%,4.50%
Hampden, Penobscot,"6,947","7,266","7,292","7,483","7,655","7,801","7,934",4.60%,0.40%,2.60%,2.30%,1.90%,1.70%,8.80%
Hermon, Penobscot,"5,046","5,497","5,842","6,281","6,714","7,125","7,524",8.90%,6.30%,7.50%,6.90%,6.10%,5.60%,28.80%
Holden, Penobscot,"2,998","3,086","3,052","3,091","3,121","3,140","3,154",2.90%,-1.10%,1.30%,1.00%,0.60%,0.40%,3.30%
Howland, Penobscot,"1,291","1,236","1,187","1,165","1,140","1,112","1,081",-4.30%,-4.00%,-1.90%,-2.10%,-2.50%,-2.80%,-8.90%
Hudson, Penobscot,"1,494","1,530","1,499","1,503","1,501","1,494","1,484",2.40%,-2.00%,0.30%,-0.10%,-0.50%,-0.70%,-1.00%
Kenduskeag, Penobscot,"1,288","1,343","1,326","1,336","1,345","1,348","1,350",4.30%,-1.30%,0.80%,0.70%,0.20%,0.10%,1.80%
Kingman UT, Penobscot,190,173,165,160,155,150,144,-8.90%,-4.60%,-3.00%,-3.10%,-3.20%,-4.00%,-12.70%
Lagrange, Penobscot,726,704,679,667,655,640,624,-3.00%,-3.60%,-1.80%,-1.80%,-2.30%,-2.50%,-8.10%
Lakeville, Penobscot,90,105,101,99,97,95,93,16.70%,-3.80%,-2.00%,-2.00%,-2.10%,-2.10%,-7.90%
Lee, Penobscot,899,917,884,871,855,836,816,2.00%,-3.60%,-1.50%,-1.80%,-2.20%,-2.40%,-7.70%
Levant, Penobscot,"2,606","2,876","2,943","3,091","3,220","3,338","3,451",10.40%,2.30%,5.00%,4.20%,3.70%,3.40%,17.30%
Lincoln, Penobscot,"5,160","5,108","4,919","4,881","4,816","4,734","4,645",-1.00%,-3.70%,-0.80%,-1.30%,-1.70%,-1.90%,-5.60%
Lowell, Penobscot,335,359,359,365,371,376,380,7.20%,0.00%,1.70%,1.60%,1.30%,1.10%,5.80%
Mattawamkeag, Penobscot,744,679,653,644,632,617,602,-8.70%,-3.80%,-1.40%,-1.90%,-2.40%,-2.40%,-7.80%
Maxfield, Penobscot,94,103,99,101,102,102,103,9.60%,-3.90%,2.00%,1.00%,0.00%,1.00%,4.00%
Medway, Penobscot,"1,409","1,344","1,306","1,296","1,284","1,268","1,250",-4.60%,-2.80%,-0.80%,-0.90%,-1.20%,-1.40%,-4.30%
Milford, Penobscot,"3,026","3,067","2,964","2,942","2,906","2,860","2,810",1.40%,-3.40%,-0.70%,-1.20%,-1.60%,-1.70%,-5.20%
Millinocket, Penobscot,"4,801","4,476","4,295","4,211","4,115","4,004","3,888",-6.80%,-4.00%,-2.00%,-2.30%,-2.70%,-2.90%,-9.50%
Mount Chase, Penobscot,219,200,194,191,188,185,181,-8.70%,-3.00%,-1.50%,-1.60%,-1.60%,-2.20%,-6.70%
Newburgh, Penobscot,"1,499","1,547","1,499","1,484","1,465","1,441","1,414",3.20%,-3.10%,-1.00%,-1.30%,-1.60%,-1.90%,-5.70%
Newport, Penobscot,"3,193","3,273","3,226","3,218","3,220","3,210","3,196",2.50%,-1.40%,-0.20%,0.10%,-0.30%,-0.40%,-0.90%
North Penobscot UT, Penobscot,442,460,444,438,430,422,412,4.10%,-3.50%,-1.40%,-1.80%,-1.90%,-2.40%,-7.20%
Old Town, Penobscot,"7,900","7,808","7,502","7,375","7,223","7,046","6,860",-1.20%,-3.90%,-1.70%,-2.10%,-2.50%,-2.60%,-8.60%
Orono, Penobscot,"10,106","10,322","11,188","11,749","12,516","13,240","13,942",2.10%,8.40%,5.00%,6.50%,5.80%,5.30%,24.60%
Orrington, Penobscot,"3,672","3,724","3,652","3,642","3,632","3,609","3,581",1.40%,-1.90%,-0.30%,-0.30%,-0.60%,-0.80%,-1.90%
Passadumkeag, Penobscot,399,372,358,351,344,336,327,-6.80%,-3.80%,-2.00%,-2.00%,-2.30%,-2.70%,-8.70%
Patten, Penobscot,"1,054","1,012",981,970,958,943,926,-4.00%,-3.10%,-1.10%,-1.20%,-1.60%,-1.80%,-5.60%
Penobscot Indian Island Reservation, Penobscot,593,607,586,579,570,559,547,2.40%,-3.50%,-1.20%,-1.60%,-1.90%,-2.10%,-6.70%
Plymouth, Penobscot,"1,340","1,364","1,333","1,328","1,320","1,307","1,293",1.80%,-2.30%,-0.40%,-0.60%,-1.00%,-1.10%,-3.00%
Prentiss UT, Penobscot,215,213,206,203,200,196,191,-0.90%,-3.30%,-1.50%,-1.50%,-2.00%,-2.60%,-7.30%
Seboeis plantation, Penobscot,37,35,34,33,33,32,31,-5.40%,-2.90%,-2.90%,0.00%,-3.00%,-3.10%,-8.80%
Springfield, Penobscot,400,414,418,431,444,454,465,3.50%,1.00%,3.10%,3.00%,2.30%,2.40%,11.20%
Stacyville, Penobscot,401,396,386,384,382,379,375,-1.20%,-2.50%,-0.50%,-0.50%,-0.80%,-1.10%,-2.80%
Stetson, Penobscot,"1,125","1,211","1,183","1,188","1,188","1,183","1,177",7.60%,-2.30%,0.40%,0.00%,-0.40%,-0.50%,-0.50%
Veazie, Penobscot,"1,880","1,909","1,832","1,798","1,759","1,713","1,665",1.50%,-4.00%,-1.90%,-2.20%,-2.60%,-2.80%,-9.10%
Webster plantation, Penobscot,84,85,81,79,77,75,72,1.20%,-4.70%,-2.50%,-2.50%,-2.60%,-4.00%,-11.10%
Whitney UT, Penobscot,3,5,5,5,5,5,5,66.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Winn, Penobscot,411,409,404,407,411,413,414,-0.50%,-1.20%,0.70%,1.00%,0.50%,0.20%,2.50%
Woodville, Penobscot,262,248,237,232,226,220,213,-5.30%,-4.40%,-2.10%,-2.60%,-2.70%,-3.20%,-10.10%
Abbot, Piscataquis,689,706,680,637,596,557,521,2.50%,-3.70%,-6.30%,-6.40%,-6.50%,-6.50%,-23.40%
Atkinson, Piscataquis,330,322,311,291,273,256,239,-2.40%,-3.40%,-6.40%,-6.20%,-6.20%,-6.60%,-23.20%
Beaver Cove, Piscataquis,112,121,117,110,103,96,90,8.00%,-3.30%,-6.00%,-6.40%,-6.80%,-6.30%,-23.10%
Blanchard UT, Piscataquis,93,97,93,87,81,76,71,4.30%,-4.10%,-6.50%,-6.90%,-6.20%,-6.60%,-23.70%
Bowerbank, Piscataquis,118,116,113,107,102,96,91,-1.70%,-2.60%,-5.30%,-4.70%,-5.90%,-5.20%,-19.50%
Brownville, Piscataquis,"1,265","1,230","1,196","1,130","1,064","1,002",943,-2.80%,-2.80%,-5.50%,-5.80%,-5.80%,-5.90%,-21.20%
Dover-Foxcroft, Piscataquis,"4,255","4,166","4,073","3,846","3,638","3,439","3,249",-2.10%,-2.20%,-5.60%,-5.40%,-5.50%,-5.50%,-20.20%
Greenville, Piscataquis,"1,656","1,634","1,601","1,523","1,446","1,373","1,303",-1.30%,-2.00%,-4.90%,-5.10%,-5.00%,-5.10%,-18.60%
Guilford, Piscataquis,"1,541","1,506","1,453","1,362","1,276","1,194","1,117",-2.30%,-3.50%,-6.30%,-6.30%,-6.40%,-6.40%,-23.10%
Kingsbury plantation, Piscataquis,21,28,27,25,24,22,21,33.30%,-3.60%,-7.40%,-4.00%,-8.30%,-4.50%,-22.20%
Lake View plantation, Piscataquis,72,88,85,80,75,70,66,22.20%,-3.40%,-5.90%,-6.30%,-6.70%,-5.70%,-22.40%
Medford, Piscataquis,248,256,247,231,216,202,189,3.20%,-3.50%,-6.50%,-6.50%,-6.50%,-6.40%,-23.50%
Milo, Piscataquis,"2,379","2,320","2,280","2,172","2,070","1,971","1,876",-2.50%,-1.70%,-4.70%,-4.70%,-4.80%,-4.80%,-17.70%
Monson, Piscataquis,685,680,660,624,588,554,521,-0.70%,-2.90%,-5.50%,-5.80%,-5.80%,-6.00%,-21.10%
Northeast Piscataquis UT, Piscataquis,304,274,265,250,234,220,206,-9.90%,-3.30%,-5.70%,-6.40%,-6.00%,-6.40%,-22.30%
Northwest Piscataquis UT, Piscataquis,152,147,143,135,127,119,112,-3.30%,-2.70%,-5.60%,-5.90%,-6.30%,-5.90%,-21.70%
Parkman, Piscataquis,838,834,804,752,703,657,613,-0.50%,-3.60%,-6.50%,-6.50%,-6.50%,-6.70%,-23.80%
Sangerville, Piscataquis,"1,330","1,327","1,276","1,189","1,107","1,031",959,-0.20%,-3.80%,-6.80%,-6.90%,-6.90%,-7.00%,-24.80%
Sebec, Piscataquis,629,622,596,554,515,478,444,-1.10%,-4.20%,-7.00%,-7.00%,-7.20%,-7.10%,-25.50%
Shirley, Piscataquis,215,231,225,213,201,190,179,7.40%,-2.60%,-5.30%,-5.60%,-5.50%,-5.80%,-20.40%
Southeast Piscataquis UT, Piscataquis,255,250,241,226,212,198,186,-2.00%,-3.60%,-6.20%,-6.20%,-6.60%,-6.10%,-22.80%
Wellington, Piscataquis,264,257,247,230,214,199,185,-2.70%,-3.90%,-6.90%,-7.00%,-7.00%,-7.00%,-25.10%
Willimantic, Piscataquis,146,148,143,133,125,117,109,1.40%,-3.40%,-7.00%,-6.00%,-6.40%,-6.80%,-23.80%
Arrowsic, Sagadahoc,447,431,445,461,476,489,501,-3.60%,3.20%,3.60%,3.30%,2.70%,2.50%,12.60%
Bath, Sagadahoc,"8,958","8,427","8,279","8,159","8,020","7,850","7,656",-5.90%,-1.80%,-1.40%,-1.70%,-2.10%,-2.50%,-7.50%
