,names,type,urls,status,owner/org_type,address,owner_or_clerk,filing_date
95,MAINELY CHOCOLATES LLP,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010004DP,REVOKED,LIMITED LIABILITY PARTNERSHIP   (DOMESTIC),"30 MAIN STREET , BANGOR, ME 04401",MICHELLE MILLER,09/08/2000
96,MAINELY CHRISTMAS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010393+D,DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 1190 , SACO, ME 04072",DAVID G. LAMOINE,08/29/2000
97,"MAINELY CLEANING COMPANY, INC.",ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19940112+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"111 COMMERCIAL STREET , SUITE 500, PORTLAND, ME 04101",HOWARD J. FELLER,07/19/1993
98,MAINELY COATINGS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161520DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"866 WEST MAIN STREET , DOVER-FOXCROFT, ME 04426",BENJAMIN K. CABOT,10/05/2015
99,"MAINELY COFFEE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20183586DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"47 KATAHDIN AVE. , MILLINOCKET, ME 04462",ROGER WILLIAM BUZBY,01/09/2018
100,MAINELY COMFORT LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20164468DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"433 WORKS RD. , JACKSON, ME 04921",WALTER J. MCCOLLUM,04/08/2016
101,MAINELY COMPANY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20174274DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"721 HUNTINGTON HILL RD. , LITCHFIELD, ME 04350",CHRISTOPHER JONES,03/01/2017
102,"MAINELY COMPUTERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19921523+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"251 MAIN ROAD , CHARLESTON, ME 04422",ELIZABETH B. JORDAN,03/06/1992
103,"MAINELY COMPUTERS, L.L.C.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121412DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"16 CAPE NEWAGEN ROAD , SOUTHPORT, ME 04576",GREGORY R SINGER,11/17/2011
104,"MAINELY CONSTRUCTION RENTALS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20133132DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"465 CONGRESS STREET , PORTLAND, ME 04101",JAMES F. CLOUTIER,03/29/2013
105,"MAINELY CONSTRUCTION, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042608DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"531 ATLANTIC HIGHWAY , NORTHPORT, ME 04849",CHRIS DRINKWATER,04/26/2004
106,"MAINELY CONTRACTING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20154543DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",05/15/2015
107,MAINELY CONTROLS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20060320+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"PO BOX 299 , WAYNE, ME 04284",JOHNNIE H ALDERSON,08/19/2005
108,"MAINELY COOKOUTS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20110095+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"11 PARK STREET , WATERVILLE, ME 04901",ARNOLD S. CLARK,07/27/2010
109,MAINELY COOPER LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121543DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"16 GARLAND RD , LINCOLN, MA 01773",THOMAS COOPER,11/30/2011
110,"MAINELY COPIERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19902546+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"86 LISBON STREET , P.O. BOX 1081, LEWISTON, ME 04243 1081","DAVID R. DUBORD, ESQ.",06/25/1990
111,"MAINELY CORK HANDBAGS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20194872DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"415 CONGRESS STREET, STE 202A,   ,  PORTLAND, ME 04101",REGISTERED AGENTS INC,02/22/2019
112,MAINELY COTTAGE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20186824DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 360 , KITTERY, ME 03904",DAN W. THORNHILL,05/25/2018
113,"MAINELY CRAFTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032391DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 30,   ,  KITTERY, ME 03904 0030","DKB CORPORATE SERVICES, INC.",06/02/2003
114,MAINELY CREAM LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20185817DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"23 NEVENS ST APT G , PORTLAND, ME 04103",MARC FLORE,04/13/2018
115,"MAINELY CREATIONS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20040080+D,DISSOLVED,BUSINESS CORPORATION,"PO BOX 280,   ,  SOUTH PARIS, ME 04281",DANA  HANLEY,07/11/2003
116,MAINELY CREATIONS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19960575+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"RR 2, BOX 4270 , UNION, ME 04862",CATHY D. COLE,09/25/1995
117,MAINELY CUBS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20080443+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"PO BOX 7875,   ,  PORTLAND, ME 04112 7875",SAMUEL M. SHERRY,09/25/2007
118,MAINELY CUSTARD 2,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170978+D,GOOD STANDING,BUSINESS CORPORATION,"209 MAIN STREET , FREEPORT, ME 04032",JONATHAN M. DAVIS,05/22/2017
119,"MAINELY CUSTARD, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042023DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"8 FUNDY ROAD,   ,  FALMOUTH, ME 04105",JAMES B. BARNS,03/08/2004
120,MAINELY CUSTARD,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160036+D,GOOD STANDING,BUSINESS CORPORATION,"209 MAIN STREET , FREEPORT, ME 04032",JONATHAN M. DAVIS,07/16/2015
121,"MAINELY CUSTOM BUILDERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19952554+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"PO BOX 9546 , PORTLAND, ME 04112 9546",GEOFFREY K. CUMMINGS,06/01/1995
122,"MAINELY CUSTOM BY DESIGN, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20011136+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"218 CRANBERRY MEADOW ROAD , BERWICK, ME 03901",ROBERT FUTTERRER,12/21/2000
123,"MAINELY CUSTOM CARVING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010603DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"1 HEMLOCK DRIVE , CUMBERLAND, ME 04021",JOSEPH LORING,12/11/2000
124,"MAINELY CUSTOM, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20053119DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 635 , KENNEBUNK, ME 04043",AMY L. FAIRFIELD,04/19/2005
125,MAINELYCERTS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140539DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"174 SOUTH FREEPORT RD. , SUITE 2A, FREEPORT, ME 04032",KEVIN R. KENERSON,08/13/2013
126,MAINE-LY DELIVERED MEALS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20170002+M,ACTIVE,CORPORATION,"ONE WESTON COURT, SUITE 203, AUGUSTA, ME 04338 5543",CENTRAL MAINE AREA AGENCY ON AGING,07/01/2016
127,MAINE-LY DISKS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19930144+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"1050 FOREST AVENUE , PORTLAND, ME 04103",THOMAS E. POWERS,07/22/1992
128,"MAINE-LY DOCKS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20201836DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"ONE CENTER STREET,   ,  WATERVILLE, ME 04901",JAMES M LALIBERTY,09/23/2019
129,MAINE-LY DRAGONFLIES & BUTTERFLIES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080211+M,EXPIRED,INDIVIDUAL,"147 EASTERN AVE , AUGUSTA, ME 04330",LISA LOVEJOY,03/06/2008
130,MAINE-LY DRIZZLE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141435DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"45 MEMORIAL CIRCLE,   ,  AUGUSTA, ME 04330",CORPORATION SERVICE COMPANY,10/15/2013
131,MAINELY DEALS,RESERVED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190054RD,EXPIRED,RESERVED NAME               (BUSINESS),"PO BOX 313 , SOLON, ME 04979",MALLORY CHADBOURNE,02/08/2019
132,MAINELY DENIM,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20194482DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"C/O BERGEN & PARKINSON LLC , 62 PORTLAND ROAD, SUITE 25, KENNEBUNK, ME 04043",CHRISTIAN L. BARNER,01/10/1989
133,MAINELY DESIGNS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19890237+M,EXPIRED,INDIVIDUAL,"ROUTE 1  BOX 1883 , BANGOR, ME 04401",CANDACE E. ATKINSON,04/27/1989
134,"MAINELY DESSERTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20050921DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"49 PLEASANT STREET , BRUNSWICK, ME 04011",STODDARD L SMITH,09/28/2004
135,MAINELY DETAILING,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080235+M,EXPIRED,INDIVIDUAL,"95 OAK STREET , OLD TOWN, ME 04468",ZACHARY J. POULIN,03/28/2008
136,MAINELY DETAILS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153172DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 873 , UNITY, ME 04988",NICOLE BROWN,02/19/2015
137,"MAINELY DEVELOPMENT, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20063200DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"4 HILL STREET , MILLINOCKET, ME 04462",DEAN A. BEAUPAIN,05/01/2006
138,MAINELY DIGGING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190551DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"415 CONGRESS STREET, STE 202A,   ,  PORTLAND, ME 04101",NORTHWEST REGISTERED AGENT LLC,07/26/2018
139,MAINELY DIGITAL PHOTOGRAPHY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20123462DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",05/02/2012
140,"MAINELY DIGITIZING, INC.",ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20020655+D,DISSOLVED,BUSINESS CORPORATION,"85 NORTH STREET , BATH, ME 04530",KARL H. FINNIMORE,10/23/2001
141,"MAINELY DOG RESCUE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120489ND,ADMINISTRATIVELY DISSOLVED,NONPROFIT CORPORATION       (T13-B),"29 ROSEWOOD DR , SACO, ME 04072",CRYSTAL WEISS,05/15/2012
142,MAINELY DRAFTING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20082183DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"265 COSTELLO RD , GARDINER, ME 04345",SHAWN PELUSO,01/18/2008
143,MAINELY DREDGE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20073187DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"27 LOWER BEACH RD , SACO, ME 04072",DANIEL MORSE,04/11/2007
144,"MAINELY DRIVERS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19990125+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"P.O. BOX 468 , BIDDEFORD, ME 04005",PETER L. EDMANDS,07/21/1998
145,MAINELY DRIVING ACADEMY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20113304DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"28 MEADOW RD , AUGUSTA, ME 04330",MELISSA POWELL MARTIN,05/10/2011
146,MAINELY DRONING & PHOTOGRAPHY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20172993DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"202 PARK AVENUE, APT 2 , PORTLAND, ME 04102",BENJAMIN THOMAS CIOTTI,12/19/2016
147,"MAINELY-DOGS.COM, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20001906+D,DISSOLVED,BUSINESS CORPORATION,"449 ATLANTIC HIGHWAY , WALDOBORO, ME 04572",MARTHA KALINA,03/28/2000
148,"MAINE-LY EDUCATION, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19862701+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"ROUTE 32, BOX 1020 , JEFFERSON, ME 04348","JULIE EASTMAN, PRESIDENT",06/16/1986
149,MAINE-LY ELDER CARE,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081104+D,GOOD STANDING,BUSINESS CORPORATION,"ONE CENTER STREET,   ,  WATERVILLE, ME 04901",JAMES M LALIBERTY,02/04/2008
150,MAINE-LY ELDER CARE,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19990409+M,CANCELLED,INDIVIDUAL,"146 HUSSEY HILL RD , OAKLAND, ME 04963",DENISE L. ROGERS,05/27/1999
151,MAINE-LY ENGLISH INC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190653+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 2412 , SOUTH PORTLAND, ME 04116 2412","JEROME J. GAMACHE, ESQ.",02/19/2019
152,MAINE-LY EYES,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032012+D,DISSOLVED,BUSINESS CORPORATION,"54 DIRT ROAD , CAMDEN, ME 04843",SANTOS E. ASCARATE,04/28/2003
153,"MAINELY E-BIKES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20150715DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"219 EVERGREEN DRIVE , WATERVILLE, ME 04901",CINDY OWINGS-HUTCHISON,08/27/2014
154,"MAINELY EARTH IMAGES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20052587DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"1541 STATE ROUTE 129 , SOUTH BRISTOL, ME 04568",JOHN B. MCKEON,03/04/2005
155,MAINELY EDI,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19962173+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"56 PORTLAND ROAD , KENNEBUNK, ME 04043",BRUCE M. READ,04/05/1996
156,MAINELY EDUCATION INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100206+F,AUTHORITY OF FOREIGN ENTITY WITHDRAWN,BUSINESS CORPORATION                    (FOREIGN),"KEY WEST, FL 33040",108 GERALDINE ST.,09/17/2009
157,MAINELY ELECTROLOGY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20192291DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"240 CUMBERLAND STREET, APT. 2 , WESTBROOK, ME 04092",DEBBIE GIANNOUMIS,10/18/2018
158,MAINELY EMBROIDERY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20182716DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"70 DRAYTEN RD , BATH, ME 04530",KHRYSTAL D. CROMWELL,11/27/2017
159,"MAINELY ENGINEERING, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19892089+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"PO BOX 760,   ,  DAMARISCOTTA, ME 04543",ROBERT B GREGORY,02/22/1989
160,MAINELY ENGRAVING LLC,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121673DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"7 MERRILL ROAD , FREEPORT, ME 04032",JAKE DANIELE,12/09/2011
161,"MAINELY ENTERPRISES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20154717DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 460 , DAMARISCOTTA, ME 04543",EDWARD G. DARDIS,05/21/2015
162,"MAINELY ENTERTAINMENT, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170077+D,GOOD STANDING,BUSINESS CORPORATION,"133 BROADWAY,   ,  BANGOR, ME 04401 6505",RICHARD  SILVER,08/01/2016
163,MAINELY ENVIRONMENTAL LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20175762DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"60 PINELAND DR , SUITE 310, NEW GLOUCESTER, ME 04260",STEVEN WHIPPLE,05/17/2017
164,MAINELY EQUINE BODYWORKS LLC,RESERVED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190141RC,EXPIRED,RESERVED NAME               (LIMITED LIABILITY COMPANY),"94 TEN LOTS RD , FAIRFIELD, ME 04937",ERIKA SEMONES,03/11/2019
165,"MAINELY ERRANDS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20162141DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"23 UPPER MAST LANDING ROAD , FREEPORT, ME 04032",HEIDI ANDREWS,11/24/2015
166,"MAINELY ESCAPES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160269+D,GOOD STANDING,BUSINESS CORPORATION,"105 SIX ROD ROAD , FAIRFIELD, ME 04937",ADAM HENDSBEE,10/02/2015
167,"MAINELY EVENTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20174717DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"C/O PERKINS THOMPSON, PA , P.O. BOX 426, PORTLAND, ME 04112 0426","DAVID C. JOHNSON, ESQ.",03/30/2017
168,"MAINELY EXPORTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20182762DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"457 SEASIDE AVENUE , SACO, ME 04072",JESSICA MULA-HOWARD,11/29/2017
169,MAINELY EYES - CANCELLED,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19990985+D,GOOD STANDING,BUSINESS CORPORATION,"663 STILLWATER AVENUE , BANGOR, ME 04401",PHILIP GOLDTHWAIT,12/03/1998
170,MAINELY EYES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20130179+D,GOOD STANDING,BUSINESS CORPORATION,"663 STILLWATER AVENUE , BANGOR, ME 04401",PHILIP GOLDWAIT,09/13/2012
171,MAINELY FURNITURE RESTORATION AND REFINISHING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191284DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",08/30/2018
172,MAINE-LY FINANCIAL SERVICES LLC,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20092641DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"120 DURHAM ROAD , FREEPORT, ME 04032",PAUL SUYAMA,04/13/2009
173,MAINE-LY FIRE SPRINKLERS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19970555+F,FOREIGN AUTHORITY REVOKED,BUSINESS CORPORATION                    (FOREIGN),"P.O. BOX 1401,   BANGOR, ME 04402 1401",PAUL R. BROWN,12/10/1996
174,"MAINE-LY FISH PRINTS AND MERCANTILE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20151833DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",11/14/2014
175,"MAINE-LY FISHING GUIDE SERVICE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19861864+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"FARRELL, ROSENBLATT & RUSSELL,   P.O. BOX 738,  BANGOR, ME 04402 0738",BARRY A COHEN,03/14/1986
176,MAINE-LY FOAM,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19960197+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 479 , BRIDGTON, ME 04009 0479",RUSSELL B. BOISVERT,07/28/1995
177,"MAINE-LY FOODS, INCORPORATED",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20030916+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 664,   ,  ROCKLAND, ME 04841",STEPHEN W. HANSCOM,12/10/2002
178,MAINE-LY FOR YOU,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19940037+M,EXPIRED,INDIVIDUAL,"RR2, BOX 745 , HARRISON, ME 04040",RITA C. ANCTIL,08/19/1993
179,"MAINELY FAMILIES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19830298ND,DISSOLVED,NONPROFIT CORPORATION       (T13-B),"P.O. BOX 8594 , PORTLAND, ME 04104",LIZ CROCKETT,04/13/1983
180,"MAINELY FARM, HOME AND GARDEN, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890740+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"231 NORTHPORT AVE. , BELFAST, ME 04915",SUZANNE K. SMEDLEY,10/25/1988
181,"MAINELY FENCE, LLC",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20152317DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"95 HIGH STREET , PORTLAND, ME 04101",JASON MILLS,12/18/2014
182,MAINELY FENCE,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20140063+D,GOOD STANDING,BUSINESS CORPORATION,"17 DOUGHTY DRIVE, SUITE 201 , BREWER, ME 04412","MATTHEW PAGNOZZI, ESQ.",07/24/2013
183,MAINELY FIREARMS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20185072DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"115 YORK RD , MINOT, ME 04258",LAURA LEA WALLINGFORD,03/15/2018
184,"MAINELY FIT, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20031961+D,DISSOLVED,BUSINESS CORPORATION,"44 ELM STREET,   ,  WATERVILLE, ME 04901",WILLIAM P. DUBORD,04/23/2003
185,MAINELY FITNESS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20130541DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"45 MEMORIAL CIRCLE,   ,  AUGUSTA, ME 04330",CORPORATION SERVICE COMPANY,08/21/2012
186,MAINELY FITNESS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20183045DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"415 CONGRESS STREET,   SUITE 202C,  PORTLAND, ME 04101",LEGALINC CORPORATE SERVICES INC.,12/11/2017
187,MAINELY FITNESS PATIENCE RESISTENCE RESULTS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20130054+M,ACTIVE,LTD. LIABILITY CO.,"57 GREEN STREET, SACO, ME 04072",MAINELY FITNESS LLC,09/10/2012
188,"MAINELY FLAGS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19950018+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"PO BOX 325 , YORK, ME 03909",GUY N. SEVIGNY,07/05/1994
