,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,area_title,industry_title
370,55000,5,511110,58,0,2012,A,,210,5221,168090181,63853086,3328476,619,32192,,1.47,1.14,0.95,1.09,1.18,0.83,0.83,,-3,-1.4,-670,-11.4,-13317683,-7.3,-6951957,-9.8,225598,7.3,27,4.6,1397,4.5,Wisconsin,NAICS 511110 Newspaper publishers
371,56000,5,511110,58,0,2012,A,,44,941,25589426,17135022,400670,523,27194,,1.93,1.98,1.31,1.76,1.15,0.66,0.66,,0,0.0,0,0.0,-271774,-1.1,-129050,-0.7,13770,3.6,-6,-1.1,-298,-1.1,Wyoming,NAICS 511110 Newspaper publishers
372,72000,5,511110,58,0,2012,A,,13,1808,69485671,12061412,380640,739,38436,,0.3,1.13,1.75,1.09,0.85,1.55,1.55,,-1,-7.1,114,6.7,6391229,10.1,170140,1.4,17500,4.8,23,3.2,1199,3.2,Puerto Rico,NAICS 511110 Newspaper publishers
373,1000,5,511110,58,0,2011,A,,132,3122,123843717,26662279,973419,763,39673,,1.24,0.93,0.98,0.87,0.76,1.05,1.05,,-2,-1.5,-161,-4.9,-10340839,-7.7,-1860430,-6.5,187227,23.8,-23,-2.9,-1200,-2.9,Alabama,NAICS 511110 Newspaper publishers
374,2000,5,511110,58,0,2011,A,,30,618,20969041,16744903,415182,653,33935,,1.53,1.04,0.78,1.04,0.94,0.75,0.75,,-2,-6.2,-30,-4.6,-2116433,-9.2,-1337789,-7.4,88455,27.1,-32,-4.7,-1700,-4.8,Alaska,NAICS 511110 Newspaper publishers
375,4000,5,511110,58,0,2011,A,,97,3750,158491778,29334571,530885,813,42263,,0.74,0.85,0.88,0.77,0.57,1.04,1.04,,0,0.0,-194,-4.9,-6412349,-3.9,-2188502,-6.9,150143,39.4,9,1.1,448,1.1,Arizona,NAICS 511110 Newspaper publishers
376,5000,5,511110,58,0,2011,A,,108,2748,78821114,33021731,1148226,552,28688,,1.39,1.3,1.1,1.25,1.16,0.84,0.84,,-1,-0.9,-67,-2.4,-1817528,-2.3,-680631,-2.0,348224,43.5,1,0.2,39,0.1,Arkansas,NAICS 511110 Newspaper publishers
377,6000,5,511110,58,0,2011,A,,559,16594,830183381,124350478,7258522,962,50030,,0.44,0.62,0.61,0.53,0.53,1.0,1.0,,-44,-7.3,-1127,-6.4,-45100334,-5.2,-13584615,-9.8,-400101,-5.2,12,1.3,638,1.3,California,NAICS 511110 Newspaper publishers
378,8000,5,511110,58,0,2011,A,,152,3994,169695025,43762750,1637403,817,42483,,0.98,0.98,0.92,0.88,0.85,0.95,0.95,,-14,-8.4,-314,-7.3,-5800017,-3.3,-2627914,-5.7,500502,44.0,34,4.3,1746,4.3,Colorado,NAICS 511110 Newspaper publishers
379,9000,5,511110,58,0,2011,A,,76,3372,145405093,51881669,2884132,829,43120,,0.75,1.13,0.87,1.18,1.49,0.77,0.77,,0,0.0,-179,-5.0,-5151269,-3.4,-2355235,-4.3,433637,17.7,14,1.7,721,1.7,Connecticut,NAICS 511110 Newspaper publishers
380,10000,5,511110,58,0,2011,A,,17,621,27089309,7092089,471189,839,43605,,0.67,0.83,0.79,0.86,1.89,0.95,0.95,,0,0.0,-53,-7.9,-2627758,-8.8,-472377,-6.2,16197,3.6,-9,-1.1,-469,-1.1,Delaware,NAICS 511110 Newspaper publishers
381,12000,5,511110,58,0,2011,A,,341,12058,539093290,95259533,4790490,860,44710,,0.63,0.91,1.05,0.82,1.1,1.16,1.16,,-9,-2.6,-709,-5.6,-31916906,-5.6,-8931411,-8.6,178952,3.9,0,0.0,-14,0.0,Florida,NAICS 511110 Newspaper publishers
382,13000,5,511110,58,0,2011,A,,207,7105,346252058,66780433,2033732,937,48731,,0.85,1.01,1.2,0.95,1.05,1.18,1.18,,-19,-8.4,-834,-10.5,-61734277,-15.1,-7221212,-9.8,781279,62.4,-51,-5.2,-2657,-5.2,Georgia,NAICS 511110 Newspaper publishers
383,15000,5,511110,58,0,2011,A,,21,882,45427348,28964003,859346,990,51495,,0.61,0.8,1.07,1.14,1.16,1.33,1.33,,-4,-16.0,-224,-20.3,-12233157,-21.2,-15689458,-35.1,352969,69.7,-12,-1.2,-620,-1.2,Hawaii,NAICS 511110 Newspaper publishers
384,16000,5,511110,58,0,2011,A,,65,1402,48288615,33838287,714113,662,34432,,1.33,1.25,1.32,1.33,0.88,1.06,1.06,,0,0.0,-64,-4.4,620652,1.3,-1395133,-4.0,-16588,-2.3,37,5.9,1918,5.9,Idaho,NAICS 511110 Newspaper publishers
385,17000,5,511110,58,0,2011,A,,380,10092,467528413,131562362,6802488,891,46327,,1.08,0.98,0.98,0.97,1.03,1.0,1.0,,-4,-1.0,-858,-7.8,-19660785,-4.0,-6752565,-4.9,1580615,30.3,35,4.1,1836,4.1,Illinois,NAICS 511110 Newspaper publishers
386,18000,5,511110,58,0,2011,A,,173,5929,194729768,58424763,1767710,632,32844,,1.19,1.16,1.04,1.1,0.95,0.89,0.89,,0,0.0,-325,-5.2,-10958294,-5.3,12035453,25.9,505554,40.1,-1,-0.2,-46,-0.1,Indiana,NAICS 511110 Newspaper publishers
387,19000,5,511110,58,0,2011,A,,258,4339,132418549,82472629,2400186,587,30515,,3.01,1.61,1.38,1.53,1.47,0.85,0.85,,-4,-1.5,-111,-2.5,383443,0.3,-2007136,-2.4,739126,44.5,16,2.8,844,2.8,Iowa,NAICS 511110 Newspaper publishers
388,20000,5,511110,58,0,2011,A,,157,2437,69787849,20237856,710709,551,28643,,1.97,1.01,0.79,0.59,0.71,0.78,0.78,,8,5.4,-255,-9.5,-5839040,-7.7,-1283364,-6.0,3905,0.6,11,2.0,546,1.9,Kansas,NAICS 511110 Newspaper publishers
389,21000,5,511110,58,0,2011,A,,166,3919,117309702,32197319,950075,576,29936,,1.68,1.22,1.01,1.12,0.84,0.83,0.83,,-4,-2.4,-118,-2.9,-6805795,-5.5,-1416865,-4.2,45765,5.1,-15,-2.5,-807,-2.6,Kentucky,NAICS 511110 Newspaper publishers
390,22000,5,511110,58,0,2011,A,,121,2811,111285387,23450244,342701,761,39585,,1.06,0.82,0.84,0.75,0.52,1.02,1.02,,-5,-4.0,-144,-4.9,-9614913,-8.0,-1810229,-7.2,140347,69.4,-26,-3.3,-1325,-3.2,Louisiana,NAICS 511110 Newspaper publishers
391,23000,5,511110,58,0,2011,A,,82,1652,53912237,19609691,380128,628,32639,,1.82,1.54,1.45,1.6,0.94,0.94,0.94,,-1,-1.2,-116,-6.6,-2541136,-4.5,-1208174,-5.8,36793,10.7,14,2.3,705,2.2,Maine,NAICS 511110 Newspaper publishers
392,24000,5,511110,58,0,2011,A,,115,3327,149344906,28360945,2354819,863,44893,,0.77,0.73,0.67,0.68,0.98,0.93,0.93,,-5,-4.2,-60,-1.8,-3085129,-2.0,-683758,-2.4,593701,33.7,-2,-0.2,-111,-0.2,Maryland,NAICS 511110 Newspaper publishers
393,25000,5,511110,58,0,2011,A,,173,6776,333323018,95272649,5815319,946,49190,,0.83,1.15,1.04,0.99,1.28,0.9,0.9,,-4,-2.3,-254,-3.6,-3030214,-0.9,-3329281,-3.4,672442,13.1,26,2.8,1345,2.8,Massachusetts,NAICS 511110 Newspaper publishers
394,26000,5,511110,58,0,2011,A,,221,7124,281839818,67003020,4542226,761,39563,,0.99,1.0,0.94,0.97,1.08,0.95,0.95,,-10,-4.3,-467,-6.2,-20699629,-6.8,-5703331,-7.8,1166545,34.6,-5,-0.7,-292,-0.7,Michigan,NAICS 511110 Newspaper publishers
395,27000,2,511110,58,0,2011,A,N,1,0,0,0,0,0,0,N,55.07,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Minnesota,NAICS 511110 Newspaper publishers
396,27000,5,511110,58,0,2011,A,,291,5622,218115156,123493628,2736507,746,38795,,1.94,1.17,1.04,1.2,1.03,0.89,0.89,,-12,-4.0,-281,-4.8,-9813694,-4.3,-7059418,-5.4,1020100,59.4,3,0.4,181,0.5,Minnesota,NAICS 511110 Newspaper publishers
397,28000,5,511110,58,0,2011,A,,114,1942,53766327,25750769,679240,533,27693,,1.82,0.98,0.85,0.97,1.07,0.87,0.87,,-2,-1.7,-100,-4.9,-2842686,-5.0,10392562,67.7,458012,207.0,0,0.0,-29,-0.1,Mississippi,NAICS 511110 Newspaper publishers
398,29000,5,511110,58,0,2011,A,,271,5210,178919613,66194768,1359921,660,34339,,1.7,1.09,0.99,1.1,0.87,0.91,0.91,,-6,-2.2,-324,-5.9,-6611821,-3.6,-2694239,-3.9,166078,13.9,15,2.3,816,2.4,Missouri,NAICS 511110 Newspaper publishers
399,30000,5,511110,58,0,2011,A,,76,1434,43225506,31591566,446753,580,30154,,1.98,1.83,1.69,1.76,1.19,0.92,0.92,,2,2.7,-81,-5.3,-1400473,-3.1,-906377,-2.8,72554,19.4,14,2.5,704,2.4,Montana,NAICS 511110 Newspaper publishers
400,31000,5,511110,58,0,2011,A,,139,2666,76943772,24144190,694891,555,28867,,2.53,1.6,1.32,1.55,1.28,0.83,0.83,,-4,-2.8,-87,-3.2,670524,0.9,-350705,-1.4,9761,1.4,22,4.1,1159,4.2,Nebraska,NAICS 511110 Newspaper publishers
401,32000,5,511110,58,0,2011,A,,41,1204,54649391,30324491,519768,873,45409,,0.63,0.58,0.67,0.58,0.49,1.15,1.15,,-3,-6.8,-95,-7.3,-3888392,-6.6,-1760424,-5.5,257712,98.3,7,0.8,360,0.8,Nevada,NAICS 511110 Newspaper publishers
402,33000,5,511110,58,0,2011,A,,48,1382,50035674,16721391,588589,697,36218,,1.1,1.23,1.03,1.25,1.11,0.84,0.84,,-5,-9.4,-80,-5.5,-2625981,-5.0,1367481,8.9,150938,34.5,4,0.6,204,0.6,New Hampshire,NAICS 511110 Newspaper publishers
403,34000,5,511110,58,0,2011,A,,180,7503,440343445,203057878,7622931,1129,58688,,0.75,1.09,1.21,1.18,1.34,1.12,1.12,,1,0.6,-590,-7.3,-29003113,-6.2,-17260461,-7.8,2372890,45.2,14,1.3,694,1.2,New Jersey,NAICS 511110 Newspaper publishers
404,35000,5,511110,58,0,2011,A,,56,1511,48831234,30621294,386858,621,32310,,1.11,1.05,0.92,1.16,0.79,0.88,0.88,,-4,-6.7,-59,-3.8,-3600200,-6.9,-417260,-1.3,144613,59.7,-21,-3.3,-1077,-3.2,New Mexico,NAICS 511110 Newspaper publishers
405,36000,5,511110,58,0,2011,A,,443,18642,1229614362,176369535,9117676,1268,65960,,0.82,1.19,1.39,1.26,1.28,1.17,1.17,,-16,-3.5,-670,-3.5,-5903620,-0.5,-6724635,-3.7,146869,1.6,38,3.1,1984,3.1,New York,NAICS 511110 Newspaper publishers
406,37000,5,511110,58,0,2011,A,,216,6269,217500195,114780035,2382266,667,34693,,0.93,0.88,0.8,0.92,0.78,0.9,0.9,,-6,-2.7,-429,-6.4,-11183959,-4.9,-5087645,-4.2,1179213,98.0,10,1.5,550,1.6,North Carolina,NAICS 511110 Newspaper publishers
407,38000,3,511110,58,0,2011,A,N,1,0,0,0,0,0,0,N,331.74,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,North Dakota,NAICS 511110 Newspaper publishers
408,38000,5,511110,58,0,2011,A,,73,1202,37483725,24662954,164646,600,31187,,2.93,1.71,1.4,1.66,0.75,0.82,0.82,,0,0.0,-28,-2.3,-220249,-0.6,291477,1.2,29469,21.8,10,1.7,529,1.7,North Dakota,NAICS 511110 Newspaper publishers
409,39000,5,511110,58,0,2011,A,,290,10163,444306838,98318871,3515639,841,43720,,1.1,1.11,1.23,1.11,0.95,1.11,1.11,,-1,-0.3,-485,-4.6,-15179465,-3.3,-3407404,-3.3,1199701,51.8,11,1.3,568,1.3,Ohio,NAICS 511110 Newspaper publishers
410,40000,5,511110,58,0,2011,A,,168,3155,138599487,55060877,1038840,845,43936,,1.79,1.13,1.36,1.09,0.88,1.2,1.2,,2,1.2,-144,-4.4,24611796,21.6,6844790,14.2,563446,118.5,180,27.1,9379,27.1,Oklahoma,NAICS 511110 Newspaper publishers
411,41000,5,511110,58,0,2011,A,,119,2998,111448314,77164152,2544650,715,37172,,1.01,1.0,0.95,1.09,1.06,0.94,0.94,,-1,-0.8,-175,-5.5,-9372498,-7.8,-6464448,-7.7,208794,8.9,-17,-2.3,-906,-2.4,Oregon,NAICS 511110 Newspaper publishers
412,42000,5,511110,58,0,2011,A,,314,14160,568388338,120005095,8483993,772,40141,,1.0,1.38,1.29,1.35,1.33,0.93,0.93,,-5,-1.6,-716,-4.8,-13985616,-2.4,-4894476,-3.9,1232102,17.0,19,2.5,992,2.5,Pennsylvania,NAICS 511110 Newspaper publishers
413,44000,5,511110,58,0,2011,A,,41,998,45360432,18504879,397355,874,45459,,1.29,1.2,1.31,1.35,0.69,1.09,1.09,,2,5.1,-46,-4.4,-2992510,-6.2,-563258,-3.0,-4868,-1.2,-17,-1.9,-871,-1.9,Rhode Island,NAICS 511110 Newspaper publishers
414,45000,5,511110,58,0,2011,A,,104,3003,107165978,31276638,1052447,686,35685,,1.03,0.91,0.93,0.9,0.93,1.02,1.02,,0,0.0,-87,-2.8,-5469677,-4.9,7282847,30.4,686365,187.5,-15,-2.1,-767,-2.1,South Carolina,NAICS 511110 Newspaper publishers
415,46000,5,511110,58,0,2011,A,,94,1274,33427642,13452840,132405,505,26249,,3.31,1.75,1.42,1.74,1.1,0.81,0.81,,0,0.0,-63,-4.7,-784942,-2.3,579740,4.5,-108024,-44.9,13,2.6,662,2.6,South Dakota,NAICS 511110 Newspaper publishers
416,47000,5,511110,58,0,2011,A,,172,5056,188000031,48214943,1392762,715,37183,,1.36,1.05,1.01,0.98,0.77,0.96,0.96,,-7,-3.9,-300,-5.6,-6270582,-3.2,-2699266,-5.3,170420,13.9,17,2.4,910,2.5,Tennessee,NAICS 511110 Newspaper publishers
417,48000,5,511110,58,0,2011,A,,526,13069,592712804,129742418,6432441,872,45351,,0.99,0.68,0.69,0.63,0.91,1.02,1.02,,-18,-3.3,-722,-5.2,-18643714,-3.0,-5255849,-3.9,458852,7.7,20,2.3,1022,2.3,Texas,NAICS 511110 Newspaper publishers
418,49000,5,511110,58,0,2011,A,,41,1788,65077612,42777246,576448,700,36407,,0.54,0.82,0.81,0.89,0.71,0.99,0.99,,-4,-8.9,-180,-9.1,-6964105,-9.7,-3823687,-8.2,258962,81.6,-4,-0.6,-206,-0.6,Utah,NAICS 511110 Newspaper publishers
419,50000,5,511110,58,0,2011,A,,46,859,26803366,10414287,499625,600,31206,,2.08,1.57,1.33,1.62,1.77,0.85,0.85,,-1,-2.1,-44,-4.9,131488,0.5,1754993,20.3,167270,50.3,32,5.6,1661,5.6,Vermont,NAICS 511110 Newspaper publishers
420,51000,5,511110,58,0,2011,A,,199,7054,317614187,58510572,1851149,866,45026,,0.94,1.07,1.04,0.97,1.07,0.97,0.97,,-3,-1.5,-240,-3.3,-4213108,-1.3,-2610252,-4.3,611617,49.3,18,2.1,906,2.1,Virginia,NAICS 511110 Newspaper publishers
421,53000,5,511110,58,0,2011,A,,160,4930,192359072,141728006,3740715,750,39019,,0.76,0.94,0.8,1.0,1.07,0.85,0.85,,-2,-1.2,-50,-1.0,788610,0.4,-711624,-0.5,428832,12.9,10,1.4,552,1.4,Washington,NAICS 511110 Newspaper publishers
422,54000,5,511110,58,0,2011,A,,75,1996,68258526,24042707,387080,658,34193,,1.69,1.54,1.47,1.57,0.72,0.96,0.96,,1,1.4,-65,-3.2,386902,0.6,-425351,-1.7,-11378,-2.9,25,3.9,1263,3.8,West Virginia,NAICS 511110 Newspaper publishers
423,55000,5,511110,58,0,2011,A,,213,5891,181407864,70805043,3102878,592,30795,,1.48,1.2,0.98,1.15,1.08,0.82,0.82,,0,0.0,-371,-5.9,-12768208,-6.6,140782,0.2,1017770,48.8,-4,-0.7,-214,-0.7,Wisconsin,NAICS 511110 Newspaper publishers
424,56000,5,511110,58,0,2011,A,,44,941,25861200,17264072,386900,529,27492,,1.92,1.85,1.28,1.74,1.18,0.69,0.69,,-3,-6.4,-14,-1.5,-107152,-0.4,-249119,-1.4,37656,10.8,6,1.1,298,1.1,Wyoming,NAICS 511110 Newspaper publishers
425,72000,5,511110,58,0,2011,A,,14,1694,63094442,11891272,363140,716,37237,,0.31,0.99,1.52,1.04,0.8,1.53,1.53,,0,0.0,-107,-5.9,-5824198,-8.5,-214442,-1.8,55795,18.2,-20,-2.7,-1041,-2.7,Puerto Rico,NAICS 511110 Newspaper publishers
426,1000,5,511110,58,0,2010,A,,134,3283,134184556,28522709,786192,786,40873,,1.21,0.92,1.01,0.86,0.73,1.1,1.1,,-5,-3.6,-268,-7.5,-6751467,-4.8,-2015626,-6.6,484883,160.9,23,3.0,1179,3.0,Alabama,NAICS 511110 Newspaper publishers
427,2000,5,511110,58,0,2010,A,,32,648,23085474,18082692,326727,685,35635,,1.59,1.04,0.83,1.07,1.0,0.8,0.8,,-4,-11.1,-79,-10.9,-3819969,-14.2,-2994928,-14.2,-25078,-7.1,-27,-3.8,-1399,-3.8,Alaska,NAICS 511110 Newspaper publishers
428,4000,5,511110,58,0,2010,A,,97,3944,164904127,31523073,380742,804,41815,,0.71,0.85,0.89,0.78,0.47,1.05,1.05,,-11,-10.2,-465,-10.5,-18376975,-10.0,-3433495,-9.8,150702,65.5,5,0.6,242,0.6,Arizona,NAICS 511110 Newspaper publishers
429,5000,5,511110,58,0,2010,A,,109,2815,80638642,33702362,800002,551,28649,,1.35,1.26,1.08,1.19,0.92,0.86,0.86,,-4,-3.5,-250,-8.2,-5458522,-6.3,2932797,9.5,316214,65.4,11,2.0,555,2.0,Arkansas,NAICS 511110 Newspaper publishers
430,6000,5,511110,58,0,2010,A,,603,17721,875283715,137935093,7658623,950,49392,,0.48,0.62,0.62,0.57,0.66,1.01,1.0,,-53,-8.1,-2421,-12.0,-163728384,-15.8,-20719145,-13.1,247166,3.3,-42,-4.2,-2192,-4.2,California,NAICS 511110 Newspaper publishers
431,8000,5,511110,58,0,2010,A,,166,4308,175495042,46390664,1136901,783,40737,,1.02,1.0,0.92,0.88,1.03,0.92,0.92,,-16,-8.8,-621,-12.6,-34120276,-16.3,-11414558,-19.7,395296,53.3,-35,-4.3,-1792,-4.2,Colorado,NAICS 511110 Newspaper publishers
432,9000,5,511110,58,0,2010,A,,76,3551,150556362,54236904,2450495,815,42399,,0.72,1.13,0.87,1.16,1.49,0.77,0.77,,-23,-23.2,-300,-7.8,-14187366,-8.6,-6081592,-10.1,667562,37.4,-8,-1.0,-376,-0.9,Connecticut,NAICS 511110 Newspaper publishers
433,10000,5,511110,58,0,2010,A,,17,674,29717067,7564466,454992,848,44074,,0.63,0.85,0.84,0.86,2.18,0.98,0.98,,1,6.2,-104,-13.4,-1951587,-6.2,-1181608,-13.5,312125,218.5,65,8.3,3373,8.3,Delaware,NAICS 511110 Newspaper publishers
434,12000,5,511110,58,0,2010,A,,350,12767,571010196,104190944,4611538,860,44724,,0.63,0.91,1.06,0.84,1.56,1.17,1.17,,-17,-4.6,-1224,-8.7,-68280636,-10.7,-10107672,-8.8,2475675,115.9,-19,-2.2,-970,-2.1,Florida,NAICS 511110 Newspaper publishers
435,13000,5,511110,58,0,2010,A,,226,7939,407986335,74001645,1252453,988,51388,,0.9,1.07,1.36,1.0,0.76,1.27,1.27,,-14,-5.8,-1658,-17.3,3525226,0.9,-16129898,-17.9,447243,55.5,178,22.0,9245,21.9,Georgia,NAICS 511110 Newspaper publishers
436,15000,5,511110,58,0,2010,A,,25,1106,57660505,44653461,506377,1002,52115,,0.69,0.95,1.29,1.63,1.05,1.35,1.35,,-4,-13.8,-331,-23.0,-11989256,-17.2,25009683,127.3,496409,4980.0,70,7.5,3641,7.5,Hawaii,NAICS 511110 Newspaper publishers
437,16000,5,511110,58,0,2010,A,,65,1466,47667963,35233420,730701,625,32514,,1.26,1.22,1.24,1.29,0.94,1.01,1.01,,-2,-3.0,-101,-6.4,-4043748,-7.8,-3062817,-8.0,399503,120.6,-10,-1.6,-485,-1.5,Idaho,NAICS 511110 Newspaper publishers
438,17000,5,511110,58,0,2010,A,,384,10950,487189198,138314927,5221873,856,44491,,1.07,1.01,0.98,0.98,1.12,0.98,0.97,,-13,-3.3,-967,-8.1,-27792536,-5.4,-25928331,-15.8,1395058,36.5,25,3.0,1278,3.0,Illinois,NAICS 511110 Newspaper publishers
439,18000,5,511110,58,0,2010,A,,173,6254,205688062,46389310,1262156,633,32890,,1.16,1.17,1.06,1.03,0.95,0.91,0.91,,-7,-3.9,-404,-6.1,-10942233,-5.1,-3621436,-7.2,317685,33.6,7,1.1,353,1.1,Indiana,NAICS 511110 Newspaper publishers
440,19000,5,511110,58,0,2010,A,,262,4450,132035106,84479765,1661060,571,29671,,2.94,1.57,1.32,1.49,1.27,0.84,0.84,,-2,-0.8,-372,-7.7,-8841066,-6.3,-3891653,-4.4,845245,103.6,9,1.6,457,1.6,Iowa,NAICS 511110 Newspaper publishers
441,20000,5,511110,58,0,2010,A,,149,2692,75626889,21521220,706804,540,28097,,1.81,1.05,0.82,0.58,0.76,0.78,0.78,,-4,-2.6,-155,-5.4,-1334228,-1.7,-1207921,-5.3,396449,127.7,20,3.8,1068,4.0,Kansas,NAICS 511110 Newspaper publishers
442,21000,5,511110,58,0,2010,A,,170,4037,124115497,33614184,904310,591,30743,,1.63,1.19,1.03,1.1,0.84,0.86,0.86,,-1,-0.6,-293,-6.8,-9980937,-7.4,-3343960,-9.0,164729,22.3,-5,-0.8,-224,-0.7,Kentucky,NAICS 511110 Newspaper publishers
443,22000,5,511110,58,0,2010,A,,126,2955,120900300,25260473,202354,787,40910,,1.03,0.82,0.87,0.75,0.37,1.07,1.07,,3,2.4,-326,-9.9,-5191040,-4.1,-836352,-3.2,55547,37.8,48,6.5,2474,6.4,Louisiana,NAICS 511110 Newspaper publishers
444,23000,5,511110,58,0,2010,A,,83,1768,56453373,20817865,343335,614,31934,,1.78,1.55,1.43,1.59,0.98,0.93,0.93,,-2,-2.4,-144,-7.5,-4179812,-6.9,-5990736,-22.3,64647,23.2,4,0.7,228,0.7,Maine,NAICS 511110 Newspaper publishers
445,24000,5,511110,58,0,2010,A,,120,3387,152430035,29044703,1761118,865,45004,,0.78,0.7,0.66,0.65,0.86,0.94,0.94,,-7,-5.5,-338,-9.1,-13484127,-8.1,-4873786,-14.4,1103475,167.8,8,0.9,464,1.0,Maryland,NAICS 511110 Newspaper publishers
446,25000,5,511110,58,0,2010,A,,177,7030,336353232,98601930,5142877,920,47845,,0.85,1.13,1.01,0.97,1.25,0.9,0.9,,-9,-4.8,-412,-5.5,-43280158,-11.4,-10419545,-9.6,1378701,36.6,-61,-6.2,-3164,-6.2,Massachusetts,NAICS 511110 Newspaper publishers
447,26000,5,511110,58,0,2010,A,,231,7591,302539447,72706351,3375681,766,39855,,0.98,1.02,0.99,1.01,0.92,0.97,0.97,,-11,-4.5,-1007,-11.7,-64962718,-17.7,-33037524,-31.2,-550709,-14.0,-56,-6.8,-2887,-6.8,Michigan,NAICS 511110 Newspaper publishers
448,27000,2,511110,58,0,2010,A,N,1,0,0,0,0,0,0,N,55.06,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Minnesota,NAICS 511110 Newspaper publishers
449,27000,5,511110,58,0,2010,A,,303,5903,227928850,130553046,1716407,743,38614,,1.96,1.17,1.04,1.21,0.85,0.9,0.89,,-1,-0.3,-563,-8.7,-25573142,-10.1,-9019863,-6.5,446698,35.2,-11,-1.5,-590,-1.5,Minnesota,NAICS 511110 Newspaper publishers
450,28000,5,511110,58,0,2010,A,,116,2042,56609013,15358207,221228,533,27722,,1.78,0.96,0.84,0.9,0.78,0.88,0.87,,0,0.0,-173,-7.8,-5092278,-8.3,-1628535,-9.6,61598,38.6,-3,-0.6,-129,-0.5,Mississippi,NAICS 511110 Newspaper publishers
451,29000,5,511110,58,0,2010,A,,277,5534,185531434,68889007,1193843,645,33523,,1.69,1.09,0.97,1.06,0.87,0.89,0.89,,-5,-1.8,-387,-6.5,-22596466,-10.9,-4178349,-5.7,246659,26.0,-31,-4.6,-1627,-4.6,Missouri,NAICS 511110 Newspaper publishers
452,30000,5,511110,58,0,2010,A,,74,1515,44625979,32497943,374199,566,29450,,1.86,1.83,1.69,1.71,1.28,0.92,0.92,,-1,-1.3,-38,-2.4,-884409,-1.9,114781,0.4,261897,233.2,2,0.4,145,0.5,Montana,NAICS 511110 Newspaper publishers
453,31000,5,511110,58,0,2010,A,,143,2753,76273248,24494895,685130,533,27708,,2.53,1.55,1.25,1.48,1.31,0.81,0.8,,-1,-0.7,-157,-5.4,-3918698,-4.9,-1655597,-6.3,480628,235.0,3,0.6,151,0.5,Nebraska,NAICS 511110 Newspaper publishers
454,32000,5,511110,58,0,2010,A,,44,1299,58537783,32084915,262056,866,45049,,0.64,0.59,0.68,0.57,0.38,1.15,1.15,,-2,-4.3,-140,-9.7,-6617559,-10.2,-5221591,-14.0,-72277,-21.6,-5,-0.6,-237,-0.5,Nevada,NAICS 511110 Newspaper publishers
455,33000,5,511110,58,0,2010,A,,53,1462,52661655,15353910,437651,693,36014,,1.17,1.23,1.05,1.24,1.05,0.85,0.85,,-2,-3.6,-108,-6.9,-3740268,-6.6,1611682,11.7,208774,91.2,2,0.3,91,0.3,New Hampshire,NAICS 511110 Newspaper publishers
456,34000,5,511110,58,0,2010,A,,179,8093,469346558,220318339,5250041,1115,57994,,0.71,1.1,1.22,1.18,1.13,1.12,1.11,,-4,-2.2,-1145,-12.4,-82632297,-15.0,-37258260,-14.5,1242089,31.0,-34,-3.0,-1754,-2.9,New Jersey,NAICS 511110 Newspaper publishers
457,35000,5,511110,58,0,2010,A,,60,1570,52431434,31038554,242245,642,33387,,1.16,1.02,0.94,1.13,0.64,0.92,0.92,,0,0.0,-51,-3.1,-2106669,-3.9,-1608181,-4.9,89995,59.1,-5,-0.8,-268,-0.8,New Mexico,NAICS 511110 Newspaper publishers
458,36000,5,511110,58,0,2010,A,,459,19312,1235517982,183094170,8970807,1230,63976,,0.83,1.17,1.35,1.24,1.34,1.15,1.15,,-13,-2.8,-1699,-8.1,-42091042,-3.3,-11583558,-6.0,2207044,32.6,61,5.2,3170,5.2,New York,NAICS 511110 Newspaper publishers
459,37000,5,511110,58,0,2010,A,,222,6698,228684154,119867680,1203053,657,34143,,0.93,0.89,0.81,0.91,0.52,0.9,0.9,,-5,-2.2,-662,-9.0,-30358764,-11.7,-14438944,-10.8,5968,0.5,-20,-3.0,-1055,-3.0,North Carolina,NAICS 511110 Newspaper publishers
