State,Year,(R01) Total Revenue,(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay
Vermont,1990,"$1,735,468 ","$47,188 ","$43,927 ","$3,261 "
Vermont,1991,"$1,816,841 ","$47,142 ","$45,563 ","$1,578 "
Vermont,1992,"$1,835,903 ","$48,212 ","$47,116 ","$1,095 "
Vermont,1993,"$1,729,974 ","$48,763 ","$47,445 ","$1,318 "
Vermont,1994,"$1,822,920 ","$51,168 ","$49,853 ","$1,315 "
Vermont,1995,"$1,989,173 ","$54,037 ","$52,717 ","$1,320 "
Vermont,1996,"$2,035,147 ","$52,502 ","$51,788 ",$714 
Vermont,1997,"$1,977,921 ","$54,236 ","$53,149 ","$1,087 "
Vermont,1998,"$2,169,025 ","$58,426 ","$56,522 ","$1,904 "
Vermont,1999,"$2,225,181 ","$56,201 ","$54,387 ","$1,814 "
Vermont,2000,"$2,248,614 ","$58,039 ","$54,872 ","$3,167 "
Vermont,2002,"$2,273,352 ","$59,445 ","$58,421 ","$1,023 "
Vermont,2004,"$2,451,439 ","$68,874 ","$65,501 ","$3,373 "
Vermont,2005,"$2,550,821 ","$72,957 ","$70,327 ","$2,631 "
Vermont,2006,"$2,629,014 ","$74,856 ","$73,479 ","$1,378 "
Vermont,2007,"$2,724,921 ","$82,222 ","$71,092 ","$11,130 "
Vermont,2008,"$2,690,732 ","$74,993 ","$72,645 ","$2,349 "
Vermont,2009,"$2,825,169 ","$89,621 ","$86,676 ","$2,944 "
Vermont,2010,"$2,903,426 ","$100,479 ","$92,176 ","$8,303 "
Vermont,2011,"$2,801,940 ","$98,240 ","$93,412 ","$4,829 "
Vermont,2012,"$2,859,661 ","$101,971 ","$95,617 ","$6,353 "
Vermont,2013,"$2,860,710 ","$106,117 ","$102,381 ","$3,735 "
Vermont,2014,"$2,971,497 ","$106,274 ","$97,471 ","$8,803 "
Vermont,2015,"$3,056,040 ","$107,694 ","$105,180 ","$2,514 "
Vermont,2016,"$3,052,299 ","$109,905 ","$105,656 ","$4,249 "
Vermont,2017,"$3,106,347 ","$114,483 ","$107,907 ","$6,576 "
Connecticut,1977,"$8,957,716 ","$482,061 ","$435,966 ","$46,096 "
Connecticut,1978,"$8,963,144 ","$513,323 ","$434,716 ","$78,608 "
Connecticut,1979,"$8,529,805 ","$465,644 ","$419,243 ","$46,401 "
Connecticut,1980,"$7,747,267 ","$434,323 ","$411,412 ","$22,912 "
Connecticut,1981,"$7,937,994 ","$420,579 ","$401,568 ","$19,011 "
Connecticut,1982,"$8,257,592 ","$435,534 ","$418,139 ","$17,395 "
Connecticut,1983,"$8,738,462 ","$465,287 ","$449,707 ","$15,581 "
Connecticut,1984,"$9,011,918 ","$482,868 ","$464,159 ","$18,708 "
Connecticut,1985,"$9,542,540 ","$515,317 ","$498,111 ","$17,206 "
Connecticut,1986,"$9,831,685 ","$546,937 ","$524,472 ","$22,466 "
Connecticut,1987,"$11,085,988 ","$581,148 ","$555,292 ","$25,856 "
Connecticut,1988,"$11,696,975 ","$644,813 ","$601,851 ","$42,961 "
Connecticut,1989,"$12,534,417 ","$656,064 ","$634,013 ","$22,051 "
Connecticut,1990,"$12,558,364 ","$673,999 ","$650,271 ","$23,728 "
Connecticut,1991,"$12,808,501 ","$687,446 ","$652,825 ","$34,621 "
Connecticut,1992,"$14,021,339 ","$733,381 ","$697,299 ","$36,081 "
Connecticut,1993,"$13,229,841 ","$649,307 ","$634,165 ","$15,141 "
Connecticut,1994,"$13,479,986 ","$672,165 ","$656,334 ","$15,830 "
Connecticut,1995,"$13,594,849 ","$669,208 ","$657,494 ","$11,714 "
Connecticut,1996,"$13,571,580 ","$710,568 ","$693,101 ","$17,468 "
Connecticut,1997,"$14,118,678 ","$737,979 ","$717,505 ","$20,474 "
Connecticut,1998,"$14,445,329 ","$768,092 ","$726,057 ","$42,034 "
Connecticut,1999,"$14,965,157 ","$781,568 ","$759,319 ","$22,249 "
Connecticut,2000,"$15,928,565 ","$771,385 ","$746,232 ","$25,153 "
Connecticut,2002,"$15,115,711 ","$840,223 ","$824,414 ","$15,809 "
Connecticut,2004,"$17,281,183 ","$824,374 ","$801,786 ","$22,588 "
Connecticut,2005,"$17,354,362 ","$834,098 ","$811,845 ","$22,253 "
Connecticut,2006,"$17,911,695 ","$860,023 ","$821,075 ","$38,948 "
Connecticut,2007,"$18,660,555 ","$835,205 ","$815,303 ","$19,902 "
Connecticut,2008,"$17,657,808 ","$890,060 ","$873,007 ","$17,053 "
Connecticut,2009,"$17,535,070 ","$889,357 ","$882,139 ","$7,218 "
Connecticut,2010,"$19,065,079 ","$941,918 ","$920,294 ","$21,625 "
Connecticut,2011,"$19,290,358 ","$950,719 ","$925,407 ","$25,312 "
Connecticut,2012,"$18,244,386 ","$958,784 ","$912,489 ","$46,294 "
Connecticut,2013,"$18,644,560 ","$959,372 ","$929,405 ","$29,967 "
Connecticut,2014,"$19,279,782 ","$955,228 ","$938,472 ","$16,756 "
Connecticut,2015,"$19,242,249 ","$979,856 ","$958,119 ","$21,738 "
Connecticut,2016,"$19,166,682 ","$1,019,025 ","$1,006,139 ","$12,886 "
Connecticut,2017,"$20,184,017 ","$955,230 ","$944,666 ","$10,564 "
,,,,,
,,,,,
,,,,,
"	",,,,,
